Q_ID;Reponse;Score;Score_Max
env1;Ne sais pas / Non applicable;NA;2
env1;Non;1;2
env1;Oui;2;2
env2;Ne sais pas / Non applicable;NA;3
env2;Non;1;3
env2;Oui;3;3
env3;Ne sais pas / Non applicable;NA;4
env3;à plus de 10 km;1;4
env3;à moins de 10 km;2;4
env3;à moins de 100 m;3;4
env3;à moins de 50 m;4;4
env4;Ne sais pas / Non applicable;NA;2
env4;Non;1;2
env4;Oui;2;2
env5;Ne sais pas / Non applicable;NA;3
env5;Faible;1;3
env5;Moyen;2;3
env5;Dense;3;3
env6;Ne sais pas / Non applicable;NA;3
env6;Oui;1;3
env6;Non;3;3
env7;Ne sais pas / Non applicable;NA;5
env7;Non;1;5
env7;Oui;5;5
env8;Ne sais pas / Non applicable;NA;5
env8;Bonne visibilité grâce au relief : l'ensemble du pâturage ou de l'exploitation est visible;1;5
env8;Visibilité moyenne : certains élements du relief empêchent de voir l'ensemble de l'exploitation ou du pâturage à moins de se deplacer;3;5
env8;Visibilité mauvaise : le relief ne permet pas de bien voir l'exploitation ou le pâturage;5;5
env9;Ne sais pas / Non applicable;NA;5
env9;<10%;1;5
env9;<20%;2;5
env9;<40%;3;5
env9;<50%;4;5
env9;>50%;5;5
viv1;Ne sais pas / Non applicable;NA;20
viv1;Chien de protection de troupeau;1;20
viv1;âne, lama;6;20
viv1;Autre animal de protection (Bouc, chien de compagnie, oies…etc);12;20
viv1;absence;20;20
viv2;Ne sais pas / Non applicable;NA;4
viv2;Bonne;1;4
viv2;Moyenne;2;4
viv2;Mauvaise;4;4
viv3;Ne sais pas / Non applicable;NA;5
viv3;> 6 mois;1;5
viv3;Entre 3 et 6 mois;2;5
viv3;Entre 1 et 3 mois;3;5
viv3;< 1 mois;4;5
viv3;Aucune;5;5
viv4;Ne sais pas / Non applicable;NA;4
viv4;Non;1;4
viv4;Oui, sans explication;2;4
viv4;Oui, suite à un traumatisme mais pas en lien avec un prédateur;3;4
viv4;Oui, suite à un affrontement avec un prédateur;4;4
viv5;Ne sais pas / Non applicable;NA;2
viv5;Oui;1;2
viv5;Non;2;2
viv6;Ne sais pas / Non applicable;NA;2
viv6;Oui;1;2
viv6;Non;2;2
viv7;Ne sais pas / Non applicable;NA;5
viv7;3 à 7 ans;1;5
viv7;1 à 3 ans;3;5
viv7;> 7 ans;4;5
viv7;< 1 an;5;5
viv8;Ne sais pas / Non applicable;NA;6
viv8;Amical;1;6
viv8;Tolérant;3;6
viv8;Agressif;6;6
viv9;Ne sais pas / Non applicable;NA;3
viv9;Non;1;3
viv9;Oui;3;3
viv10;Ne sais pas / Non applicable;NA;3
viv10;Oui, par des professionnels des chiens de protections;1;3
viv10;Oui, lors de la mise en place ou de l'achat seulement (2 ou 3 visites);2;3
viv10;Non;3;3
viv11;Ne sais pas / Non applicable;NA;3
viv11;Oui, par des professionnels des chiens de protections;1;3
viv11;Oui, lors de la mise en place ou de l'achat seulement (2 ou 3 visites);2;3
viv11;Non;3;3
stru1;Ne sais pas / Non applicable;NA;5
stru1;Treillis 200 cm non électrifié ET enterré;1;5
stru1;Treillis 160 cm électrifié avec 1 fil au-dessus et un fil en dessous;1;5
stru1;Treillis 120 cm électrifié (2 fils au-dessus ET 1 fil en-dessous);1;5
stru1;Filet mobile électrifié 120 cm (type flexinet);1;5
stru1;Clôture 5 à 6 fils électriques;1;5
stru1;Treillis > 180 cm de haut non électrifié, mais non enterré;2;5
