Q_ID;Reponse;Score;Score_Max
elep1;Ne sais pas / Non applicable;NA;2
elep1;Oui;1;2
elep1;Non;2;2
elep2;Ne sais pas / Non applicable;NA;5
elep2;< 1 semaine;1;5
elep2;< 2 semaines;2;5
elep2;< 1 mois;3;5
elep2;< 2 mois;4;5
elep2;> 2 mois;5;5
elep3;Ne sais pas / Non applicable;NA;3
elep3;Présence de points d'eau à l'interieur et en dehors du parc de pâturage;1;3
elep3;Présence d'un point d'eau uniquement à l'interieur du parc de pâturage;3;3
elep4;Ne sais pas / Non applicable;NA;2
elep4;Point d'eau accessible facilement, vue dégagée et fuite aisée. ;1;2
elep4;Point d'eau difficilement acessible, vue peu dégagée et/ou fuite compliquée. ;2;2
elep5;Ne sais pas / Non applicable;NA;4
elep5;Regroupement;1;4
elep5;Dispersion;4;4
elep6;Ne sais pas / Non applicable;NA;5
elep6;Les bêtes viennent spontannément au contact de l'eleveur dès qu'elles le voient;1;5
elep6;Les bêtes viennent au contact de l'éleveur lorsqu'il les appelent;2;5
elep6;Les bêtes sont indifférentes/ne bougent pas lorsque l'éleveur les appelent, mais elles restent calmes lorsqu'il vient les voir;3;5
elep6;Les bêtes s'éloignent ou ne bougent pas lorsque l'eleveur les appèlent et partent lorsqu'il vient à leur contact;4;5
elep6;Les bêtes s'éloignent à la vue de l'éleveur;5;5
elep7;Ne sais pas / Non applicable;NA;4
elep7;Troupeau apaisé, mange correctement, prise de poids bonne;1;4
elep7;Difficultés à prendre du poids;2;4
elep7;Signes de stress;3;4
elep7;Signes de stress importants, prostration;4;4
elep8;Ne sais pas / Non applicable;NA;6
elep8;<1% ;1;6
elep8;<5% ;2;6
elep8;5 à 10% ;3;6
elep8;10 à 20% ;5;6
elep8;>20% ;6;6
protecp1;Ne sais pas / Non applicable;NA;10
protecp1;Parc electrique avec combinaison de clotûres fixes et mobiles ou semi mobiles;1;10
protecp1;Parc electrique fixe;2;10
protecp1;Parc mobile ou semi mobile;3;10
protecp1;Parc mobile non electrifié;6;10
protecp1;Parc fixe non electrifié;8;10
protecp1;Pas de clôtures;10;10
protecp2;Ne sais pas / Non applicable;NA;15
protecp2;Clôture à grillage de 2 mètre de haut;1;15
protecp2;Clôture à grillage d'1m60 de haut avec couronne electrique (fil) sur le dessus;1;15
protecp2;Clôture à grillage de 80 cm de haut maximum avec 3 à 4 fils électriques sur le dessus;2;15
protecp2;Clôture à 5 fils electriques;2;15
protecp2;Clôture semi mobile à 4 ou 5 fils électriques;2;15
protecp2;Clotûre mobile à 4 ou 5 fils electriques;2;15
protecp2;Renforcement d'une clôture existante par 1 ou 2 fils électriques;3;15
protecp2;Haies défensives;4;15
protecp2;Filet electrifié;6;15
protecp2;ursus simple;10;15
protecp2;Moins de 3 fils;15;15
protecp3;Ne sais pas / Non applicable;NA;4
protecp3;> 1m45;1;4
protecp3;entre 1m20 et 1m45;2;4
protecp3;entre 90cm et 1m20;3;4
protecp3;<90cm;4;4
protecp4;Ne sais pas / Non applicable;NA;6
protecp4;Bon (clôtures neuve ou en parfait état, transmission electrique fluide, fils et pquets en parfait état ) ;1;6
protecp4;Moyen (quelques signes de faiblesses, transmission moyenne de l'lectricité);3;6
protecp4;Mauvais (clôtures dégradées, mauvaise transmission de l'electricité, etc.);6;6
ecop1;Ne sais pas / Non applicable;NA;4
ecop1;Inférieur ou égal à 1Ha;1;4
ecop1;> 1 Ha;2;4
ecop1;> 2 Ha;3;4
ecop1;> 5 Ha;4;4
ecop2;Ne sais pas / Non applicable;NA;8
ecop2;< 100 m;1;8
ecop2;< 1 km;2;8
ecop2;< 10 km;3;8
ecop2;< 20km;6;8
ecop2;> 20 km;8;8
envp1;Ne sais pas / Non applicable;NA;2
envp1;Proximité d'un GR, route ou sentiers frequemment empruntés;1;2
envp1;Non;2;2
envp2;Ne sais pas / Non applicable;NA;2
envp2;Permeable au passage de prédateurs;1;2
envp2;Non;1;2
envp2;Imperméable au passage de prédateurs;2;2
envp3;Ne sais pas / Non applicable;NA;5
envp3;Fleuve, rivière majeure, etc. : largeur du cours d'eau supérieur à 20 mètres;1;5
envp3;Rivière mineure, fleuve cotier : largeur comprise entre 4 et 20 mètres;2;5
envp3;Torrent : largeur comprise entre 2m50 et 4 mètres.;3;5
envp3;Ruisseau : largeur comprise en 1m et 2m50;4;5
envp3;Rigole, ru, ruisselet : Largeur inférieure à 1 mètre;5;5
envp4;Ne sais pas / Non applicable;NA;3
envp4;Frais;1;3
envp4;Humide ou sec;2;3
envp4;Innondé ou désséché;3;3
envp5;Ne sais pas / Non applicable;NA;2
envp5;Non;1;2
envp5;Oui;2;2
envp6;Ne sais pas / Non applicable;NA;5
