Q_ID;Question;R1;R2 ;R3;R4;R5;R6;R7;R8;R9
pasto1;Pratiquez-vous l'élevage de plein air durant une certaine partie de l'année ? ;Ne sait pas / Non applicable;Non;Oui, moins de 6 mois dans l'année ;Oui, plus de 6 mois dans l'année;NA;NA;NA;NA;NA
pasto2;A quelle fréquence visitez-vous un même lot en moyenne ? ;Ne sait pas / Non applicable;Plusieurs fois par jour ;1 fois par jour  ;Quelques fois par semaine (mais pas par jour) ;Une fois par semaine ;Moins d'une fois par semaine ;NA;NA;NA
pasto3;Combien de bêtes se trouvent sur votre exploitation ?;Ne sait pas / Non applicable;0 à 100;101 à 200;201 à 300;301 à 600;601 à 1000;1001 à 1500;1501 à 2000;Au moins 2001 et plus 
pasto4;Combien de lots simultanés avez-vous ? ;Ne sait pas / Non applicable;1;2;3;>3;NA;NA;NA;NA
pasto5;Combien de bêtes constituent vos lots ? ;Ne sait pas / Non applicable;0 à 100;101 à 200;201 à 300;301 à 600;Plus de 600;NA;NA;NA
pasto6;Quel est le ratio entre la taille de votre cheptel et l'UHT (Unité de Temps Humain) ? ;Ne sait pas / Non applicable;1 UHT pour 0 à 100;1 UHT pour 101 à 200;1 UHT pour 201 à 300;1 UHT pour 301 à 600;1 UHT pour 601 et plus ;NA;NA;NA
pasto7;Regroupez vous vos bêtes la nuit ?;Ne sait pas / Non applicable;Oui, dans un parc clos ;Oui, sans parc clos ;Non;NA;NA;NA;NA;NA
pasto8;Vos bêtes sont-elles confinées en abri de nuit ? ;Ne sait pas / Non applicable;Oui, imperméable;Oui, perméable aux prédateurs ;Absence;NA;NA;NA;NA;NA
pasto9;Utilisez-vous des cabanes de mise bas?;Ne sait pas / Non applicable;Oui;Non;NA;NA;NA;NA;NA;NA
pasto10;Si oui, dans quel état sont vos cabanes ? ;Ne sait pas / Non applicable;Imperméable;Perméable aux prédateurs ;NA;NA;NA;NA;NA;NA
pasto11;Les naissances s'effectuent-elles à l'exterieur ?;Ne sait pas / Non applicable;Non;Oui;NA;NA;NA;NA;NA;NA
pasto12;Retirez-vous les carcasses/ placentas/ déchets de vos parcs systématiquement (<24h) ?;Ne sait pas / Non applicable;Oui;Non;NA;NA;NA;NA;NA;NA
