Q_ID;Reponse;Score;Score_Max;
ele1;Ne sais pas / Non applicable;NA;8;
ele1;En ZPP;8;8;
ele1;Hors ZPP;1;8;
ele2;Ne sais pas / Non applicable;NA;3;
ele2;Professionnel;1;3;
ele2;Hobbyiste;3;3;
ele3;Ne sais pas / Non applicable;NA;3;
ele3;Principal;1;3;
ele3;Complémentaire;3;3;
ele4;Ne sais pas / Non applicable;NA;3;
ele4;Non;1;3;
ele4;Oui, occasionnellement;2;3;
ele4;Oui, de façon réccurente;3;3;
ele5;Ne sais pas / Non applicable;NA;4;
ele5;Inférieur ou égal à 0,5 Ha;1;4;
ele5;Entre 0.5 et 1 Ha;2;4;
ele5;Entre 1 et 3 Ha;3;4;
ele5;> 3 Ha;4;4;
ele6;Ne sais pas / Non applicable;NA;8;
ele6;0 - 100 m;1;8;
ele6;100 - 500 m;2;8;
ele6;500 m - 1 km;3;8;
ele6;1 km - 10 km;6;8;
ele6;> 10 km;8;8;
ele7;Ne sais pas / Non applicable;NA;5;
ele7;<10;1;5;
ele7;10 à 30 ;2;5;
ele7;30-50;3;5;
ele7;50-100;4;5;
ele7;>100;5;5;
ele8;Ne sais pas / Non applicable;NA;5;
ele8;1;1;5;
ele8;2;2;5;
ele8;3;4;5;
ele8;>3;5;5;
ele9;Ne sais pas / Non applicable;NA;3;
ele9;Oui;1;3;
ele9;Non;3;3;
ele10;Ne sais pas / Non applicable;NA;3;
ele10;Oui, abri imperméable au passage des prédateurs;1;3;
ele10;Oui, mais abri perméable à l'intrusion de prédateurs;2;3;
ele10;Absence d'abri;3;3;
ele11;Ne sais pas / Non applicable;NA;6;
ele11;Non;1;6;
ele11;Oui;6;6;
ele12;Ne sais pas / Non applicable;NA;6;
ele12;Non;1;6;
ele12;Oui;6;6;
ele13;Ne sais pas / Non applicable;NA;3;
ele13;6 mois (printemps - été);1;3;
ele13;9 mois (rentré l'hiver en bergerie);2;3;
ele13;Toute l'année dehors;3;3;
ele14;Ne sais pas / Non applicable;NA;3;
ele14;Moins d'1 mois;1;3;
ele14;Entre 1 et 3 mois;2;3;
ele14;Plus de 3 mois;3;3;
ele15;Ne sais pas / Non applicable;NA;5;
ele15;Equins;1;5;
ele15;Bovins;2;5;
ele15;Caprins;4;5;
ele15;Ovins;5;5;
ele16;Ne sais pas / Non applicable;NA;3;
ele16;Oui;1;3;
ele16;Non;3;3;
