Q_ID;Question;R1;R2 ;R3;R4;R5;R6;R7;R8
viv1;Avez-vous un gardien humain (berger ou éleveur-berger) ? ;Ne sait pas / Non applicable;Diurne et noctune ;Nocturne;Diurne ;Aucun ;NA;NA;NA
viv2;Si oui, quelle est l'expérience de ce gardien ? ;Ne sait pas / Non applicable;>10 ans ;>5 ans;>1 an;<1an ;Absence ;NA;NA
viv3;Ce gardien a-t-il déjà été confronté à la prédation ? ;Ne sait pas / Non applicable;Oui;Non;NA;NA;NA;NA;NA
viv4;Le gardien est-il formé aux mesures de protection? ;Ne sait pas / Non applicable;Oui, formation théorique et pratique (Idele, Chambre d'agriculture, ADEAR, etc.)  ;Formation autodicate ;Non;NA;NA;NA;NA
viv5;Possédez vous un animal pour garder votre troupeau ?;Ne sait pas / Non applicable;Chien de protection de troupeau;âne, lama;Autre animal de protection (Bouc, chien de compagnie, oies…etc);absence;NA;NA;NA
viv6;Y a-t-il des intéractions non souhaitées entre les chiens de protection et le troupeau ? ;Ne sait pas / Non applicable;Non;Oui ;NA;NA;NA;NA;NA
viv7;Combien de chiens avez-vous ? ;Ne sait pas / Non applicable;>3 chiens pour 100 bêtes ;3 chiens pour 100 bêtes;2 chiens pour 100 bêtes ;1 chien pour 100 bêtes ;<1 chien pour 100 bêtes ;<1 chien pour 200 brebis ;0 chiens 
viv8;En quelle santé sont vos animaux gardiens ?;Ne sait pas / Non applicable;Très bonne;Bonne;Moyenne;Mauvaise;Très mauvaise ;NA;NA
viv9;Depuis combien de temps votre ou vos animaux gardiens ont-ils été intégrés au troupeau ? (le plus ancien) ;Ne sait pas / Non applicable;> 6 mois;Entre 3 et 6 mois;Entre 1 et 3 mois;< 1 mois;Aucune;NA;NA
viv10;Le comportement de votre animal gardien s'est il altéré ou son efficacité a-t-elle diminué subitement sans explication ou suite à un traumatisme ?;Ne sait pas / Non applicable;Non;Oui, sans explication;Oui, suite à un traumatisme mais pas en lien avec un facteur externe (promeneur, bruit, etc) ;Oui, suite à un traumatisme en lien avec un prédateur;NA;NA;NA
viv11;L'efficacité de vos animaux gardiens face à la prédation a-t-elle diminué subitement sans explication ou suite à un traumatisme (soudain et violent) ? ;Ne sait pas / Non applicable;Non;Oui, sans explication ;Oui, vous avez été témoin d'une expérience négative entre votre chien et un facteur externe (promeneur, bétail,etc);Oui, vous avez été témoin d'une confrontation entre votre chien et un prédateur ;NA;NA;NA
viv12;Si vous avez été témoin d'une confrontation entre vos chiens et un prédateur, comment a-t-il réagit ? ;Ne sait pas / Non applicable;Oui, il intervient immédiatement ;Oui, avec hésitation ;Non, n'intervient pas ;Non, prend la fuite ;NA;NA;NA
viv13;Votre chien est-il visible du troupeau ? ;Ne sait pas / Non applicable;Oui, toujours ;Oui, la majorité du temps;Variable ;Non;NA;NA;NA
viv14;Quel âge a votre chien de protection le plus efficace contre la prédation ? ;Ne sait pas / Non applicable;3 à 7 ans ;1 à 3 ans ;>7 ans;<1 an;NA;NA;NA
viv15;Quel est le comportement de votre animal gardien envers l'homme inconnu ? ;Ne sait pas / Non applicable;Tolérant;Amical;Agressif ;NA;NA;NA;NA
viv16;Votre chien de protection a-t-il vécu une attaque ou une prédation lupine ? ;Ne sait pas / Non applicable;Oui, au moins 1 fois ;Oui, occasionnellement 1 fois/an;Oui, plusieurs fois par an ;Peut-être ;Probable ;NA;NA
viv17;Votre chien est-il stérilisé ? ;Ne sait pas / Non applicable;Oui;Non;NA;NA;NA;NA;NA
viv18;Si vous souhaitez mettre en place des chiens de protection, serez-vous accompagné ? ;Ne sait pas / Non applicable;Oui, par des professionnels des chiens de protection ;Oui, lors de la mise en place ou de l'achat seulement (2 ou 3 visites par des professionnels) ;Oui, par des collègues éleveurs non professionnels des chiens de protection ;Non ;NA;NA;NA
viv19;Si besoin, à quelle fréquence bénéficiez-vous d'un accompagnement pour la gestion/ la mise au troupeau de vos chiens de protection ? ;Ne sait pas / Non applicable;Plus de 4 fois par an ;De 3 à 4 fois par an;De 1 à 2 fois par an ;Moins de 1 fois par an ;NA;NA;NA
viv20;Combien de gardiens humains gardent votre troupeau ? ;Ne sait pas / Non applicable;>1;1;aucun;NA;NA;NA;NA
viv21;Quelle est votre expérience des chiens de protection ? ;Ne sait pas / Non applicable;J'ai plusieurs chiens de protection depuis plus de 5 ans ;J'ai plusieurs chiens de protection depuis moins de 5 ans ;J'ai un chien de protection depuis plus de 5 ans ;J'ai un chien de protection depuis moins de 5 ans;Absence ;NA;NA
viv22;Quel est le niveau de familiarisation de votre troupeau à/aux animaux gardiens ? ;Ne sait pas / Non applicable;Plusieurs chiens de protection depuis plusieurs années sur tout le troupeau ;1 chien de protection depuis plusieurs années sur plusieurs lots ;1 chien de protection quelques mois sur 1 seul lot (tout le troupeau ne connait pas le chien) ;Légère ;Nul;NA;NA
